Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
H1,9774030151,Mounting_Wuerth_WA-SMSI-M2.5_H3mm_9774030151,140.97,-82.55,0.0,top
H2,9774030151,Mounting_Wuerth_WA-SMSI-M2.5_H3mm_9774030151,170.18,-82.55,0.0,top
H3,9774030151,Mounting_Wuerth_WA-SMSI-M2.5_H3mm_9774030151,170.18,-111.76,0.0,top
H4,9774030151,Mounting_Wuerth_WA-SMSI-M2.5_H3mm_9774030151,140.97,-111.76,0.0,top
J1,DF40HC(3.0)-70DS-0.4V(51),Hirose_DF40C-70DS-0.4V_2x35_P0.4mm,155.575,-82.55,0.0,top
J2,DF40HC(3.0)-70DS-0.4V(51),Hirose_DF40C-70DS-0.4V_2x35_P0.4mm,155.575,-111.76,180.0,top
J3,SFH11-PBPC-D05-ST-BK,PinSocket_2x05_P2.54mm_Vertical,179.705,-85.725,180.0,bottom
J4,SFH11-PBPC-D05-ST-BK,PinSocket_2x05_P2.54mm_Vertical,179.705,-108.585,180.0,bottom
J5,SFH11-PBPC-D05-ST-BK,PinSocket_2x05_P2.54mm_Vertical,131.445,-85.725,0.0,bottom
J6,SFH11-PBPC-D05-ST-BK,PinSocket_2x05_P2.54mm_Vertical,131.445,-108.585,0.0,bottom
R1,0R,R_0603_1608Metric,170.5864,-94.107,0.0,top
R10,0R,R_0603_1608Metric,167.6146,-106.0958,0.0,top
R11,0R,R_0603_1608Metric,167.6146,-101.6762,180.0,top
R12,0R,R_0603_1608Metric,170.5864,-101.6762,180.0,top
R14,1k,R_0603_1608Metric,140.5636,-92.6338,180.0,top
R15,0R,R_0603_1608Metric,140.5636,-94.107,180.0,top
R16,0R,R_0603_1608Metric,143.5354,-88.2142,0.0,top
R17,0R,R_0603_1608Metric,143.5354,-89.6874,0.0,top
R18,0R,R_0603_1608Metric,143.5354,-91.1606,0.0,top
R19,0R,R_0603_1608Metric,143.5354,-92.6338,0.0,top
R2,0R,R_0603_1608Metric,170.5864,-92.6338,0.0,top
R20,1k,R_0603_1608Metric,143.5354,-94.107,0.0,top
R21,0R,R_0603_1608Metric,140.5636,-100.203,180.0,top
R22,0R,R_0603_1608Metric,140.5636,-101.6762,180.0,top
R23,0R,R_0603_1608Metric,140.5636,-103.1494,180.0,top
R24,0R,R_0603_1608Metric,140.5636,-104.6226,180.0,top
R25,0R,R_0603_1608Metric,143.5354,-101.6762,0.0,top
R26,0R,R_0603_1608Metric,143.535,-104.6226,0.0,top
R27,0R,R_0603_1608Metric,143.5354,-106.0958,0.0,top
R3,0R,R_0603_1608Metric,167.6146,-92.6338,0.0,top
R4,1k,R_0603_1608Metric,170.5864,-91.1606,0.0,top
R5,1k,R_0603_1608Metric,170.5864,-88.2142,180.0,top
R6,1k,R_0603_1608Metric,167.6146,-89.6874,180.0,top
R7,1k,R_0603_1608Metric,170.5864,-89.6874,180.0,top
R8,0R,R_0603_1608Metric,167.6146,-91.1606,180.0,top
R9,0R,R_0603_1608Metric,170.5864,-106.0958,0.0,top
