Comment,Designator,Footprint,LCSC,Quantity
0R,"R17,R25",R_0402_1005Metric,C5374047,2
100n,"C11,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C3,C4,C5,C6,C7,C8,C9",C_0201_0603Metric,C76934,20
100n,"C27,C29,C31",C_0402_1005Metric,C77014,3
10k,"R1,R2,R28,R30,R31,R32,R4,R5",R_0402_1005Metric,C2484841,8
10u,"C26,C28,C30,C34,C36",C_0402_1005Metric,C408132,5
1k,"R10,R11,R12,R6,R7,R8,R9",R_0402_1005Metric,C2479070,7
1u,"C10,C12,C25,C35,C37",C_0402_1005Metric,C76999,5
2n2,C33,C_0402_1005Metric,C77022,1
2u2,L2,L_0603_1608Metric,C383367,1
2u2,C2,C_0603_1608Metric,C86018,1
470n,C32,C_0402_1005Metric,C88946,1
47k,"R14,R16,R19,R20,R22,R23,R24,R27",R_0402_1005Metric,C4266769,8
47u,C1,C_0805_2012Metric,C124129,1
B3U-1000P,SW1,SW_SPST_B3U-1000P,C231329,1
DF40C-70DP-0.4V(51),"J3,J4",HIROSE_DF40C-70DP-0.4V_51_,C2692097,2
ECS-2520MVLC-500-CN,Y1,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,C17348430,1
IS25WJ032F-JNLE,U4,SOIC-8_3.9x4.9mm_P1.27mm,C7290366,1
OM-7604-C7,Y2,OSC_OM-7604-C7-32.768KHZ-20PPM-TA-QC,C5341289,1
TPS22916BYFPR,U3,Texas_PicoStar_BGA-4_0.758x0.758mm_Layout2x2_P0.4mm,C2150095,1
470n,L1,L_1008_2520Metric,,1
DFT_BOOT_MODE0,TP3,TestPoint_Pad_D1.0mm,,1
DFT_BOOT_MODE1,TP5,TestPoint_Pad_D1.0mm,,1
+0V8,TP1,TestPoint_Pad_D1.0mm,,1
VDDQPS_EFUSE,TP4,TestPoint_Pad_D1.0mm,,1
CLK_OUT,TP2,TestPoint_Pad_D1.0mm,,1
Efficient E1x,U1,WB-BGA-219_8.3x7.1mm_Layout17x15_P0.45mm_Ball0.45mm_Pad0.32mm_NSMD_Actual2,,1
MSP430F5151IRSBT,U2,VQFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm,,1
OTP_WEN,TP6,TestPoint_Pad_D1.0mm,,1
