Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47u,C_0805_2012Metric,120.96,-104.502,270.0,bottom
C10,1u,C_0402_1005Metric,116.399,-104.222,0.0,bottom
C11,100n,C_0201_0603Metric,115.53,-106.962,0.0,top
C12,1u,C_0402_1005Metric,115.715,-107.772,0.0,top
C13,100n,C_0201_0603Metric,114.579,-102.017,0.0,bottom
C14,100n,C_0201_0603Metric,114.479,-102.717,0.0,bottom
C15,100n,C_0201_0603Metric,117.029,-101.667,90.0,bottom
C16,100n,C_0201_0603Metric,116.229,-103.067,270.0,bottom
C17,100n,C_0201_0603Metric,116.329,-101.667,90.0,bottom
C18,100n,C_0201_0603Metric,115.629,-101.667,90.0,bottom
C19,100n,C_0201_0603Metric,116.929,-103.067,270.0,bottom
C2,2u2,C_0603_1608Metric,118.12,-105.182,270.0,bottom
C20,100n,C_0201_0603Metric,115.529,-103.067,270.0,bottom
C21,100n,C_0201_0603Metric,119.24,-106.422,270.0,bottom
C22,100n,C_0201_0603Metric,112.379,-100.882,90.0,bottom
C23,100n,C_0201_0603Metric,112.379,-102.282,270.0,bottom
C24,100n,C_0201_0603Metric,121.01,-102.442,180.0,bottom
C25,1u,C_0402_1005Metric,120.5,-106.662,180.0,bottom
C26,10u,C_0402_1005Metric,137.1,-101.232,90.0,top
C27,100n,C_0402_1005Metric,136.17,-101.232,90.0,top
C28,10u,C_0402_1005Metric,130.79,-97.332,0.0,top
C29,100n,C_0402_1005Metric,130.79,-98.252,0.0,top
C3,100n,C_0201_0603Metric,114.929,-100.882,90.0,bottom
C30,10u,C_0402_1005Metric,126.63,-103.442,-90.0,top
C31,100n,C_0402_1005Metric,127.55,-103.442,-90.0,top
C32,470n,C_0402_1005Metric,132.26,-97.782,90.0,top
C33,2n2,C_0402_1005Metric,127.09,-100.6492,180.0,top
C34,10u,C_0402_1005Metric,126.97,-108.652,-90.0,top
C35,1u,C_0402_1005Metric,126.05,-108.652,-90.0,top
C36,10u,C_0402_1005Metric,122.3608,-108.652,-90.0,top
C37,1u,C_0402_1005Metric,107.1134,-106.932,180.0,top
C4,100n,C_0201_0603Metric,118.779,-101.012,180.0,bottom
C5,100n,C_0201_0603Metric,114.229,-100.882,90.0,bottom
C6,100n,C_0201_0603Metric,117.729,-101.602,270.0,bottom
C7,100n,C_0201_0603Metric,114.479,-103.422,0.0,bottom
C8,100n,C_0201_0603Metric,114.479,-104.122,0.0,bottom
C9,100n,C_0201_0603Metric,117.729,-103.002,90.0,bottom
H1,MountingHole_Pad,MountingHole_2.7mm_M2.5_DIN965_Pad,105.725,-87.755,0.0,top
H2,MountingHole_Pad,MountingHole_2.7mm_M2.5_DIN965_Pad,134.935,-87.755,0.0,top
H3,MountingHole_Pad,MountingHole_2.7mm_M2.5_DIN965_Pad,134.935,-116.965,0.0,top
H4,MountingHole_Pad,MountingHole_2.7mm_M2.5_DIN965_Pad,105.725,-116.965,0.0,top
J1,TC2050,Tag-Connect_TC2050-IDC-NL_2x05_P1.27mm_Vertical,132.13,-93.512,0.0,top
J2,TC2050,Tag-Connect_TC2050-IDC-NL_2x05_P1.27mm_Vertical,132.13,-111.212,0.0,top
J3,DF40C-70DP-0.4V(51),HIROSE_DF40C-70DP-0.4V_51_,120.33,-87.757,180.0,bottom
J4,DF40C-70DP-0.4V(51),HIROSE_DF40C-70DP-0.4V_51_,120.33,-116.967,0.0,bottom
L1,470n,L_1008_2520Metric,122.51,-104.442,90.0,top
L2,2u2,L_0603_1608Metric,119.71,-107.2134,0.0,top
NT1,NetTie_2,NetTie-2_SMD_Pad0.1mm,120.59,-105.422,90.0,top
NT2,NetTie_2,NetTie-2_SMD_Pad0.1mm,119.63,-106.032,180.0,top
R1,10k,R_0402_1005Metric,129.92,-95.662,270.0,bottom
R10,1k,R_0402_1005Metric,132.13,-91.352,90.0,bottom
R11,1k,R_0402_1005Metric,128.98,-95.662,270.0,bottom
R12,1k,R_0402_1005Metric,134.01,-91.351999,90.0,bottom
R14,47k,R_0402_1005Metric,109.33,-104.692,0.0,bottom
R16,47k,R_0402_1005Metric,111.62,-110.67,180.0,top
R17,0R,R_0402_1005Metric,113.01,-106.962,0.0,top
R19,47k,R_0402_1005Metric,120.990001,-92.632,0.0,bottom
R2,10k,R_0402_1005Metric,133.07,-91.352,90.0,bottom
R20,47k,R_0402_1005Metric,109.33,-96.952,0.0,bottom
R22,47k,R_0402_1005Metric,124.229999,-92.632,180.0,bottom
R23,47k,R_0402_1005Metric,120.91,-108.922,180.0,bottom
R24,47k,R_0402_1005Metric,127.09,-101.572,0.0,top
R25,0R,R_0402_1005Metric,131.87,-106.962,-90.0,top
R27,47k,R_0402_1005Metric,123.490001,-110.682,180.0,top
R28,10k,R_0402_1005Metric,134.6894,-106.962,90.0,top
R30,10k,R_0402_1005Metric,135.6292,-106.962,-90.0,top
R31,10k,R_0402_1005Metric,133.7496,-106.964,90.0,top
R32,10k,R_0402_1005Metric,107.0871,-98.062,0.0,top
R4,10k,R_0402_1005Metric,131.19,-91.352,90.0,bottom
R5,10k,R_0402_1005Metric,134.34,-95.662,270.0,bottom
R6,1k,R_0402_1005Metric,130.86,-95.662,90.0,bottom
R7,1k,R_0402_1005Metric,133.4,-95.662,90.0,bottom
R8,1k,R_0402_1005Metric,129.31,-91.351999,90.0,bottom
R9,1k,R_0402_1005Metric,130.25,-91.351999,90.0,bottom
SW1,B3U-1000P,SW_SPST_B3U-1000P,105.6884,-110.49,90.0,top
TP1,+0V8,TestPoint_Pad_D1.0mm,109.14,-95.902,0.0,top
TP2,CLK_OUT,TestPoint_Pad_D1.0mm,109.14,-106.712,0.0,top
TP3,DFT_BOOT_MODE0,TestPoint_Pad_D1.0mm,122.13,-94.43148,0.0,top
TP4,VDDQPS_EFUSE,TestPoint_Pad_D1.0mm,111.46,-95.902,0.0,top
TP5,DFT_BOOT_MODE1,TestPoint_Pad_D1.0mm,124.45,-94.43148,0.0,top
TP6,OTP_WEN,TestPoint_Pad_D1.0mm,120.4,-110.292,0.0,top
U1,Efficient E1x,WB-BGA-219_8.3x7.1mm_Layout17x15_P0.45mm_Ball0.45mm_Pad0.32mm_NSMD_Actual2,116.4,-102.362,0.0,top
U2,MSP430F5151IRSBT,VQFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm,131.67,-102.362,0.0,top
U3,TPS22916BYFPR,Texas_PicoStar_BGA-4_0.758x0.758mm_Layout2x2_P0.4mm,124.206999,-108.652,0.0,top
U4,IS25WJ032F-JNLE,SOIC-8_3.9x4.9mm_P1.27mm,105.6884,-102.362,180.0,top
Y1,ECS-2520MVLC-500-CN,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,112.31,-108.812,90.0,top
Y2,OM-7604-C7,OSC_OM-7604-C7-32.768KHZ-20PPM-TA-QC,113.31,-107.8045,270.0,bottom
